Periods,Units,beta,beta_sd,Type
30,70,1.92120823311284,0.16675210492073,Y unit root (1)
50,70,1.94257832740191,0.167911145012506,Y unit root (1)
70,70,1.96681479173777,0.176838969899441,Y unit root (1)
100,70,1.96959096422558,0.177850404474788,Y unit root (1)
200,70,1.98494495906276,0.168929417410287,Y unit root (1)
300,70,1.98138371332943,0.175831885545713,Y unit root (1)
400,70,1.99077206169432,0.170050640245842,Y unit root (1)
500,70,1.98887260995521,0.171032076501583,Y unit root (1)
10,100,1.78476922620889,0.131484923198874,Y unit root (1)
30,100,1.91113502241757,0.137034415782392,Y unit root (1)
50,100,1.95376407388478,0.136803623814131,Y unit root (1)
70,100,1.96141046178036,0.145861379576373,Y unit root (1)
100,100,1.96959751103665,0.136780239639449,Y unit root (1)
200,100,1.97419701363092,0.143534852824761,Y unit root (1)
300,100,1.9795404790043,0.143661604569385,Y unit root (1)
400,100,1.98562806108767,0.146485455733848,Y unit root (1)
500,100,1.99218443468722,0.15044430586222,Y unit root (1)
10,200,1.79544503844493,0.0875422564703497,Y unit root (1)
30,200,1.93238183671233,0.0896394375507397,Y unit root (1)
50,200,1.95222689001161,0.0921393911755385,Y unit root (1)
70,200,1.97357971712351,0.103946478712064,Y unit root (1)
100,200,1.98241406346939,0.0958417040935708,Y unit root (1)
200,200,1.98023266914439,0.105684055490704,Y unit root (1)
300,200,1.99234190561084,0.105870497628216,Y unit root (1)
400,200,1.99203104883303,0.104843831039044,Y unit root (1)
500,200,1.9857450424827,0.0991398263919507,Y unit root (1)
10,300,1.79827247425832,0.0785291294104056,Y unit root (1)
30,300,1.93217575231581,0.0800579962886038,Y unit root (1)
50,300,1.95792645707699,0.0779990159978712,Y unit root (1)
70,300,1.96569976737589,0.0797613215918693,Y unit root (1)
100,300,1.9736774051913,0.0839613482289404,Y unit root (1)
200,300,1.98490002365922,0.0840223027985238,Y unit root (1)
300,300,1.98611026160018,0.0833510406575997,Y unit root (1)
400,300,1.99073648943197,0.0834329223521681,Y unit root (1)
500,300,1.99210584696763,0.0873622216141199,Y unit root (1)
10,400,1.79874454317887,0.0621857457315877,Y unit root (1)
30,400,1.93447497834511,0.0685821820457526,Y unit root (1)
50,400,1.95839394519149,0.0691563233447179,Y unit root (1)
70,400,1.96545224196322,0.0677564657780146,Y unit root (1)
100,400,1.97064946955565,0.0743357341348199,Y unit root (1)
200,400,1.98751210654688,0.0765130465689939,Y unit root (1)
300,400,1.98928404263096,0.075231696258497,Y unit root (1)
400,400,1.98926034901903,0.0727168973869465,Y unit root (1)
500,400,1.99105073435672,0.0719579080940345,Y unit root (1)
10,500,1.79942111504639,0.0582970286895375,Y unit root (1)
30,500,1.92915995315197,0.0645852848506524,Y unit root (1)
50,500,1.96037803671265,0.0623091742575842,Y unit root (1)
70,500,1.97066512303544,0.0661058672571232,Y unit root (1)
100,500,1.9767567418601,0.0637246143003808,Y unit root (1)
200,500,1.98463369324309,0.0630090608514287,Y unit root (1)
300,500,1.98545848206981,0.0649362216288647,Y unit root (1)
400,500,1.99068403437678,0.0677171648787216,Y unit root (1)
500,500,1.99072577912379,0.0601886675692545,Y unit root (1)
10,10,1.99991988842725,0.0245063925907658,X unit root (1)
30,10,1.99959595171522,0.00849981810746424,X unit root (1)
50,10,1.99978651382189,0.00519007748239813,X unit root (1)
70,10,1.99998467591051,0.00366168996069535,X unit root (1)
100,10,2.00012922138472,0.00253375795686533,X unit root (1)
200,10,1.99997223696607,0.00126606769133017,X unit root (1)
300,10,2.00002602242245,0.000819108481309,X unit root (1)
400,10,2.00003373905774,0.000615647892287601,X unit root (1)
500,10,2.00002130941301,0.000476364418174015,X unit root (1)
