Periods,Units,beta,beta_sd,Type
400,10,258.371082765311,38.6870979124665,Begge unit root (1)
500,10,322.422456315032,43.7207352263096,Begge unit root (1)
10,30,7.25843687847404,0.445594796909631,Begge unit root (1)
30,30,20.2430720589793,1.44590790473646,Begge unit root (1)
50,30,33.7287658839194,2.2214011738367,Begge unit root (1)
70,30,46.9365467754305,2.86031165813261,Begge unit root (1)
100,30,66.3179939537608,4.68597701550872,Begge unit root (1)
200,30,132.026333758157,9.14043600609435,Begge unit root (1)
300,30,197.445801775483,14.8922817673493,Begge unit root (1)
400,30,263.993093917317,18.9539028383103,Begge unit root (1)
500,30,330.996799794146,21.8808244461724,Begge unit root (1)
10,50,7.29947580186114,0.336865181940743,Begge unit root (1)
30,50,20.4431188114972,1.04001383653094,Begge unit root (1)
50,50,33.6705749905375,1.73614090748104,Begge unit root (1)
70,50,47.2213369713689,2.49645954058626,Begge unit root (1)
100,50,66.9109239640218,3.44566654462718,Begge unit root (1)
200,50,132.919089693343,7.15035798574225,Begge unit root (1)
300,50,199.12737431063,10.4128979734814,Begge unit root (1)
400,50,264.712669612903,14.3631021923021,Begge unit root (1)
500,50,331.533568628331,17.3297539401744,Begge unit root (1)
10,70,7.29446357864361,0.261181861464211,Begge unit root (1)
30,70,20.5733373141279,0.912557999551001,Begge unit root (1)
50,70,33.7790927379862,1.50171174922529,Begge unit root (1)
70,70,47.0789897911848,2.0563248814136,Begge unit root (1)
100,70,66.755982574469,2.94320134988894,Begge unit root (1)
200,70,133.328551632412,5.92165308378773,Begge unit root (1)
300,70,199.05420819121,9.08167238179566,Begge unit root (1)
400,70,265.638070064764,11.2527916426871,Begge unit root (1)
500,70,333.496426203066,14.0723121998591,Begge unit root (1)
10,100,7.32866077580045,0.220912735440157,Begge unit root (1)
30,100,20.6121435782779,0.751276967410218,Begge unit root (1)
50,100,33.9109489709384,1.20102033154535,Begge unit root (1)
70,100,47.0741561154329,1.75915226936734,Begge unit root (1)
100,100,67.1197151285397,2.42892764067104,Begge unit root (1)
200,100,133.784410716144,5.4667109647217,Begge unit root (1)
300,100,200.125510182045,7.29794331656611,Begge unit root (1)
400,100,266.173307822841,9.80625484603615,Begge unit root (1)
500,100,332.274814112786,12.2259572719747,Begge unit root (1)
10,200,7.32551325188149,0.170020780719873,Begge unit root (1)
30,200,20.6795207158958,0.491904618404075,Begge unit root (1)
50,200,33.9467554766889,0.843850133448682,Begge unit root (1)
70,200,47.2888401552465,1.2333356224809,Begge unit root (1)
100,200,67.1083663421685,1.72797283371742,Begge unit root (1)
200,200,133.636996907921,3.48301929930262,Begge unit root (1)
300,200,200.640716028756,5.26758686442217,Begge unit root (1)
400,200,267.280426080516,6.7479000251169,Begge unit root (1)
500,200,333.691892102976,8.8748325444544,Begge unit root (1)
10,300,7.33595649179922,0.136521221986229,Begge unit root (1)
30,300,20.6445357230134,0.411391954823374,Begge unit root (1)
50,300,34.0030133537471,0.700334324202155,Begge unit root (1)
70,300,47.235460928685,0.939285789709515,Begge unit root (1)
100,300,67.2911217486209,1.38571690456436,Begge unit root (1)
200,300,133.885198792536,2.87231959537899,Begge unit root (1)
300,300,200.381126198682,4.35384989600499,Begge unit root (1)
400,300,267.064537372261,5.60213279882509,Begge unit root (1)
500,300,334.153894250295,7.29392664859537,Begge unit root (1)
